,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,38,601,696,4216.125776,4166.0,-1904.7794879999947,-0.011889060873216173,2017-08-23 19:15:00,2017-08-24 19:00:00,0 days 23:45:00
1,47,597,696,4169.677204,4166.0,-172.82858799998212,-0.0008818917676581828,2017-08-23 18:15:00,2017-08-24 19:00:00,1 days 00:45:00
2,45,749,935,4357.932475999999,4314.58,-1950.8614199999602,-0.009947945783637002,2017-08-25 08:15:00,2017-08-27 06:45:00,1 days 22:30:00
3,34,1194,1302,4586.834,4554.18,-1110.2359999999844,-0.007119071673402533,2017-08-29 23:30:00,2017-08-31 02:30:00,1 days 03:00:00
4,43,1191,1302,4593.8368,4554.18,-1705.2423999999892,-0.008632609673900449,2017-08-29 22:45:00,2017-08-31 02:30:00,1 days 03:45:00
5,45,1885,1971,4399.4290679999995,4651.5,11343.191940000024,0.057296282791210684,2017-09-06 04:15:00,2017-09-07 08:30:00,1 days 04:15:00
6,27,2039,2124,4774.499036,4430.24,-9294.993972000011,-0.07210369787579118,2017-09-08 01:30:00,2017-09-08 22:45:00,0 days 21:15:00
7,34,2028,2124,4690.27536,4430.24,-8841.202239999995,-0.055441384575766084,2017-09-07 22:45:00,2017-09-08 22:45:00,1 days 00:00:00
8,43,1972,2124,4621.587896,4430.24,-8227.95952800001,-0.04140306325572918,2017-09-07 08:45:00,2017-09-08 22:45:00,1 days 14:00:00
9,46,2331,2334,4241.335856,4258.48,788.630623999994,0.004042156665274854,2017-09-11 02:30:00,2017-09-11 03:15:00,0 days 00:45:00
10,35,2484,2526,4381.1617639999995,4069.22,-10917.96173999999,-0.07120069534141027,2017-09-12 16:45:00,2017-09-13 03:15:00,0 days 10:30:00
11,45,2477,2526,4326.73,4069.22,-11587.94999999999,-0.059516077961878744,2017-09-12 15:00:00,2017-09-13 03:15:00,0 days 12:15:00
12,52,2798,2800,3651.4700040000002,3832.5105000000003,9414.105792000004,0.049580167932826935,2017-09-15 23:15:00,2017-09-15 23:45:00,0 days 00:30:00
13,51,2801,2804,3751.510004,3730.0,-1097.0102040000106,-0.005733692293787174,2017-09-16 00:00:00,2017-09-16 00:45:00,0 days 00:45:00
14,51,2999,3001,3721.447984,3700.0,-1093.8471839999952,-0.0057633437554988065,2017-09-18 01:30:00,2017-09-18 02:00:00,0 days 00:30:00
15,40,3044,3079,3836.0337999999997,4037.25,8048.648000000012,0.05245423019995288,2017-09-18 12:45:00,2017-09-18 21:30:00,0 days 08:45:00
16,50,3040,3079,3841.536,4027.0335,9274.874999999996,0.04828732569472205,2017-09-18 11:45:00,2017-09-18 21:30:00,0 days 09:45:00
17,41,3083,3147,4096.708028,3850.0,-10115.029148000001,-0.06022104243548987,2017-09-18 22:30:00,2017-09-19 14:30:00,0 days 16:00:00
18,31,3057,3147,3951.590004,3850.0,-3149.290124000004,-0.02570863978731741,2017-09-18 16:00:00,2017-09-19 14:30:00,0 days 22:30:00
19,33,3552,3625,3754.0210079999997,3672.66,-2684.9132639999953,-0.02167302948667993,2017-09-23 19:45:00,2017-09-24 14:00:00,0 days 18:15:00
20,41,3535,3625,3718.58684,3672.66,-1883.0004400000034,-0.012350616504628986,2017-09-23 15:30:00,2017-09-24 14:00:00,0 days 22:30:00
21,52,3530,3625,3718.9269759999997,3672.66,-2405.882751999994,-0.012440947697704874,2017-09-23 14:15:00,2017-09-24 14:00:00,0 days 23:45:00
22,51,3711,3714,3759.5031999999997,3767.0,382.3368000000178,0.001994093262109864,2017-09-25 11:30:00,2017-09-25 12:15:00,0 days 00:45:00
23,50,3718,3765,3774.7492959999995,3960.6,9292.53520000002,0.04923524436363014,2017-09-25 13:15:00,2017-09-26 01:00:00,0 days 11:45:00
24,41,3766,3910,3965.045384,3950.0,-616.8607440000005,-0.003794504865117565,2017-09-26 01:15:00,2017-09-27 13:15:00,1 days 12:00:00
25,39,3759,3910,3876.870128,3950.0,2852.065007999999,0.0188631214318562,2017-09-25 23:30:00,2017-09-27 13:15:00,1 days 13:45:00
26,48,3935,3981,4046.618,4221.105,8375.375999999982,0.04311921708448874,2017-09-27 19:30:00,2017-09-28 07:00:00,0 days 11:30:00
27,38,3941,4008,4073.8288799999996,4276.65,7707.202560000002,0.04978636216060206,2017-09-27 21:00:00,2017-09-28 13:45:00,0 days 16:45:00
28,29,3970,4033,4162.6644,4140.96,-629.4275999999891,-0.005214064338215585,2017-09-28 04:15:00,2017-09-28 20:00:00,0 days 15:45:00
29,28,4430,4492,4563.434643999999,4313.5,-6998.170031999973,-0.054768976329838126,2017-10-02 23:15:00,2017-10-03 14:45:00,0 days 15:30:00
30,35,4377,4492,4421.768,4313.5,-3789.380000000001,-0.024485228533021153,2017-10-02 10:00:00,2017-10-03 14:45:00,1 days 04:45:00
31,44,4371,4492,4394.65716,4313.5,-3570.915039999989,-0.018467233516800574,2017-10-02 08:30:00,2017-10-03 14:45:00,1 days 06:15:00
32,28,4785,4856,4401.76,4381.85,-557.4799999999959,-0.004523190723710435,2017-10-06 16:00:00,2017-10-07 09:45:00,0 days 17:45:00
33,36,4712,4856,4334.723196,4381.85,1696.564944000016,0.010871929271859537,2017-10-05 21:45:00,2017-10-07 09:45:00,1 days 12:00:00
34,45,4710,4856,4281.7119999999995,4381.85,4506.210000000037,0.023387374022353802,2017-10-05 21:15:00,2017-10-07 09:45:00,1 days 12:30:00
35,27,5012,5094,4571.948047999999,4617.0,1216.4027040000192,0.009853994736381377,2017-10-09 00:45:00,2017-10-09 21:15:00,0 days 20:30:00
36,34,5004,5094,4577.8304,4617.0,1331.766400000006,0.008556367662725162,2017-10-08 22:45:00,2017-10-09 21:15:00,0 days 22:30:00
