,EntryTime,Moon,Moon_proto
709,2017-08-18 21:00:00,0.0,-3378.009723999988
710,2017-08-21 05:15:00,0.0,-3205.799431999999
711,2017-08-21 23:00:00,0.0,205.8970120000131
712,2017-08-23 08:45:00,0.0,1070.372252000005
0,2017-08-23 18:15:00,-13211.833967999615,0.0
713,2017-08-24 21:00:00,0.0,857.1043360000003
714,2017-08-26 22:00:00,0.0,1444.3791120000024
715,2017-08-28 22:15:00,0.0,1104.2504000000135
1,2017-08-29 22:30:00,-15373.689408000206,0.0
2,2017-08-30 18:45:00,-98810.60279999996,0.0
716,2017-08-31 05:00:00,0.0,-3658.4916479999856
3,2017-08-31 19:45:00,27133.049088000484,0.0
4,2017-09-01 18:00:00,-5413.595999999643,0.0
717,2017-09-01 19:15:00,0.0,1043.8099919999977
718,2017-09-03 22:15:00,0.0,1361.909135999992
5,2017-09-06 18:00:00,-26089.178939999823,0.0
6,2017-09-07 22:30:00,2400.639359999982,0.0
7,2017-09-08 22:30:00,93022.30560000024,0.0
8,2017-09-14 19:00:00,81830.66892,0.0
719,2017-09-15 17:15:00,0.0,538.9498800000115
9,2017-09-15 18:15:00,-66354.59999999993,0.0
720,2017-09-17 17:15:00,0.0,1111.860000000008
721,2017-09-20 07:00:00,0.0,-3137.062500000002
10,2017-09-20 23:15:00,-86383.52954399996,0.0
11,2017-09-22 19:15:00,-14902.18320000003,0.0
722,2017-09-23 18:30:00,0.0,1078.5470000000032
12,2017-09-25 23:30:00,-3135.0973439999507,0.0
723,2017-09-27 19:00:00,0.0,1105.2480000000032
13,2017-09-27 19:15:00,42614.183040000295,0.0
724,2017-09-28 20:00:00,0.0,944.8311679999996
14,2017-09-28 23:45:00,31306.768584000045,0.0
725,2017-09-30 18:45:00,0.0,1626.2802279999903
726,2017-10-02 00:15:00,0.0,-3266.317308000004
727,2017-10-02 18:30:00,0.0,1088.6238720000056
15,2017-10-02 19:15:00,-68949.50399999949,0.0
16,2017-10-03 19:00:00,-13323.57119999989,1327.5638640000016
728,2017-10-04 17:45:00,0.0,1140.572668000007
17,2017-10-04 18:00:00,27735.01286399986,0.0
729,2017-10-05 18:00:00,0.0,-3810.856608000009
730,2017-10-06 19:30:00,0.0,1033.6846799999948
731,2017-10-08 20:30:00,0.0,1159.3427999999983
18,2017-10-10 17:15:00,-79459.3103999996,0.0
732,2017-10-10 18:15:00,0.0,1129.4504000000052
733,2017-10-11 17:15:00,0.0,1340.2728000000025
19,2017-10-12 17:15:00,16034.461200000078,0.0
734,2017-10-16 17:30:00,0.0,1178.8224480000065
735,2017-10-18 00:30:00,0.0,1166.9748479999926
736,2017-10-18 20:45:00,0.0,1105.1897960000078
21,2017-10-19 18:45:00,118832.7198240002,0.0
20,2017-10-20 23:30:00,88173.36847200047,0.0
22,2017-10-23 17:30:00,24868.01865599997,0.0
23,2017-10-25 17:15:00,7375.380000000199,0.0
24,2017-10-26 19:30:00,104619.41783999972,1195.5705120000075
25,2017-10-27 22:30:00,6772.0514400002185,0.0
737,2017-10-29 20:15:00,0.0,1228.8671280000144
26,2017-10-30 19:30:00,-99978.97166400072,0.0
738,2017-10-31 01:30:00,0.0,-4511.603276000004
739,2017-11-01 17:45:00,0.0,1127.1606000000156
27,2017-11-01 18:15:00,16409.992799999964,0.0
28,2017-11-02 18:45:00,-63699.71603999986,0.0
29,2017-11-03 17:45:00,-67703.25038399996,0.0
740,2017-11-06 22:15:00,0.0,-3845.8677039999984
741,2017-11-07 17:45:00,0.0,-2958.1176560000013
30,2017-11-09 18:15:00,7042.282668000201,0.0
742,2017-11-09 19:00:00,0.0,1085.7584920000036
31,2017-11-10 19:30:00,70847.35473599998,0.0
32,2017-11-13 19:15:00,9777.367908000006,0.0
743,2017-11-14 17:15:00,0.0,1141.8178200000011
33,2017-11-14 17:30:00,-9627.392159999872,0.0
744,2017-11-15 20:00:00,0.0,1217.2269760000036
745,2017-11-16 17:15:00,0.0,1111.9992000000047
34,2017-11-16 17:30:00,16667.336904000167,0.0
746,2017-11-18 19:45:00,0.0,1103.5206000000107
747,2017-11-21 21:45:00,0.0,1152.5704320000004
35,2017-11-22 17:30:00,-74519.30455199978,0.0
748,2017-11-22 19:30:00,0.0,-3820.819727999984
36,2017-11-23 17:45:00,-18001.15199999971,0.0
37,2017-11-24 17:15:00,33980.609376000146,0.0
749,2017-11-24 17:45:00,0.0,-3723.427535999996
750,2017-11-26 22:15:00,0.0,986.7768400000024
751,2017-11-27 17:45:00,0.0,-3705.599999999995
752,2017-11-28 18:45:00,0.0,1029.9769920000108
753,2017-11-29 19:30:00,0.0,940.1376320000128
38,2017-11-29 19:45:00,-4007.850000000008,0.0
754,2017-11-30 21:30:00,0.0,1003.5637199999946
755,2017-12-01 20:15:00,0.0,1036.304964000008
756,2017-12-02 20:00:00,0.0,-3408.380927999984
40,2017-12-05 17:00:00,120666.54666000004,0.0
39,2017-12-06 17:00:00,12284.210988000234,0.0
41,2017-12-07 17:00:00,-16372.679999999982,0.0
42,2017-12-12 17:00:00,-73194.29039999993,0.0
757,2017-12-13 05:15:00,0.0,-3295.489060000009
43,2017-12-13 17:00:00,12632.72259599992,0.0
758,2017-12-14 22:15:00,0.0,-3180.484980000001
44,2017-12-15 17:00:00,5113.160148000188,0.0
759,2017-12-16 17:45:00,0.0,816.630720000001
760,2017-12-19 05:45:00,0.0,857.843200000003
761,2017-12-20 08:30:00,0.0,994.5340200000282
762,2017-12-22 02:00:00,0.0,884.5000000000073
45,2017-12-22 17:00:00,-8064.974759999986,0.0
46,2017-12-26 17:00:00,36406.033775999946,0.0
47,2017-12-27 17:00:00,1762.3082520000517,0.0
48,2017-12-28 17:00:00,-1577.0154719999482,0.0
49,2018-01-03 17:00:00,712.800000000012,0.0
763,2018-01-03 23:45:00,0.0,1033.2217440000095
50,2018-01-04 17:30:00,-101676.45600000002,0.0
51,2018-01-05 18:00:00,77512.63680000001,0.0
764,2018-01-07 07:30:00,0.0,-3278.733979999997
765,2018-01-07 22:45:00,0.0,1055.1911800000016
53,2018-01-08 23:00:00,4906.417464000026,0.0
52,2018-01-09 19:15:00,-8447.737319999913,0.0
54,2018-01-10 17:15:00,2228.4599999999773,0.0
55,2018-01-11 17:00:00,-393.8397119999863,0.0
766,2018-01-13 21:15:00,0.0,989.0166960000024
56,2018-01-15 22:15:00,8703.409152000037,0.0
767,2018-01-16 08:45:00,0.0,932.640000000003
57,2018-01-16 17:00:00,7036.54560000007,0.0
58,2018-01-17 17:15:00,3710.1912960000336,0.0
768,2018-01-19 17:45:00,0.0,1028.0536280000051
59,2018-01-22 17:45:00,-61672.82207999998,0.0
769,2018-01-22 22:00:00,0.0,1047.335392000008
60,2018-01-23 17:00:00,-5226.555071999974,0.0
61,2018-01-24 17:00:00,5776.783488000081,0.0
770,2018-01-24 17:30:00,0.0,1012.59187199999
62,2018-01-26 17:00:00,7237.663163999821,0.0
771,2018-01-29 17:45:00,0.0,1080.383936000013
772,2018-01-30 18:45:00,0.0,1016.169280000002
63,2018-01-30 22:30:00,22945.26042000004,0.0
64,2018-02-01 18:30:00,37145.57932800015,0.0
65,2018-02-02 17:00:00,-7694.787984000033,0.0
773,2018-02-05 06:30:00,0.0,1105.7639999999938
66,2018-02-05 17:00:00,42932.34915600004,0.0
67,2018-02-06 17:00:00,-54800.108880000014,0.0
68,2018-02-07 18:00:00,1122.9821280000006,0.0
774,2018-02-12 03:30:00,0.0,1047.6555320000034
69,2018-02-12 17:00:00,286.09164000002966,0.0
70,2018-02-14 17:00:00,131924.51316000003,0.0
71,2018-02-15 17:00:00,11702.098800000022,0.0
72,2018-02-19 17:00:00,14368.491828000126,0.0
73,2018-02-20 17:00:00,-38.919599999924685,0.0
775,2018-02-20 21:15:00,0.0,1066.2719999999972
776,2018-02-21 21:00:00,0.0,1143.1511280000032
74,2018-02-21 22:45:00,6328.747140000043,0.0
75,2018-02-22 19:15:00,10568.100600000023,0.0
777,2018-02-25 19:15:00,0.0,1093.161199999995
76,2018-02-26 17:00:00,-79122.24921599992,0.0
77,2018-02-27 17:00:00,482.8507200000604,0.0
78,2018-02-28 17:00:00,-357.5232000000324,0.0
778,2018-03-05 05:15:00,0.0,1028.7840000000142
79,2018-03-05 17:00:00,3007.000920000155,0.0
779,2018-03-05 21:00:00,0.0,1068.5920000000042
80,2018-03-06 19:15:00,10571.56867200014,0.0
81,2018-03-07 17:00:00,-4028.3999999999214,0.0
82,2018-03-08 22:00:00,13128.642192000108,0.0
83,2018-03-09 17:00:00,-62650.84800000001,0.0
84,2018-03-09 17:00:00,5573.730000000005,0.0
780,2018-03-10 17:15:00,0.0,1268.1100080000017
86,2018-03-13 19:45:00,14916.9667200002,0.0
781,2018-03-14 03:00:00,0.0,1158.606724000003
85,2018-03-14 19:00:00,22501.335540000066,0.0
87,2018-03-15 17:00:00,568.8000000000175,0.0
88,2018-03-16 22:45:00,4617.597600000063,0.0
782,2018-03-17 18:15:00,0.0,-3792.9035999999833
783,2018-03-19 07:00:00,0.0,1144.9213919999893
89,2018-03-19 23:00:00,24026.964000000065,0.0
784,2018-03-20 20:45:00,0.0,1185.984000000004
90,2018-03-21 18:15:00,-2002.0560000000623,0.0
91,2018-03-22 18:45:00,32586.551052000348,0.0
92,2018-03-23 17:00:00,-2041.689599999936,0.0
785,2018-03-25 00:30:00,0.0,-3843.3506319999706
93,2018-03-26 18:30:00,38431.61227200012,0.0
94,2018-03-27 17:00:00,3175.020000000115,0.0
95,2018-03-28 19:00:00,-70272.79108799988,0.0
96,2018-03-29 17:00:00,731.2680000001837,0.0
786,2018-03-31 07:45:00,0.0,-3904.3412999999873
787,2018-04-02 07:30:00,0.0,-3651.379199999996
788,2018-04-03 01:45:00,0.0,1055.0864999999994
97,2018-04-03 17:00:00,-1988.0063999999547,0.0
789,2018-04-04 20:15:00,0.0,1064.8836120000103
98,2018-04-04 23:15:00,-2718.871811999841,0.0
99,2018-04-06 17:30:00,-2843.0999999998903,0.0
790,2018-04-06 18:00:00,0.0,1082.0851999999995
791,2018-04-08 18:00:00,0.0,1051.447955999999
100,2018-04-09 17:00:00,-45798.0,0.0
