,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Tag,Duration
0,23,128,150,4322.248208,4175.3782200000005,-3378.0097239999877,-0.033979998586883386,2017-08-18 21:00:00,2017-08-19 02:30:00,,0 days 05:30:00
1,23,353,392,4138.964924,3999.58234,-3205.799431999999,-0.033675710367049194,2017-08-21 05:15:00,2017-08-21 15:00:00,,0 days 09:45:00
2,-23,424,467,3913.0241640000004,3904.07212,205.8970120000131,0.0022877558698358724,2017-08-21 23:00:00,2017-08-22 09:45:00,,0 days 10:45:00
3,23,559,560,4013.4947559999996,4060.03268,1070.3722520000047,0.011595361855258002,2017-08-23 08:45:00,2017-08-23 09:00:00,,0 days 00:15:00
4,22,704,745,4213.464712,4252.424,857.1043360000003,0.009246378138410227,2017-08-24 21:00:00,2017-08-25 07:15:00,,0 days 10:15:00
5,-22,900,1056,4258.705836,4193.05224,1444.3791120000024,0.015416325646399942,2017-08-26 22:00:00,2017-08-28 13:00:00,,1 days 15:00:00
6,22,1093,1128,4328.730799999999,4378.924,1104.2504000000135,0.011595361855258002,2017-08-28 22:15:00,2017-08-29 07:00:00,,0 days 08:45:00
7,-21,1312,1402,4535.005272,4709.21916,-3658.4916479999856,-0.03841536614645835,2017-08-31 05:00:00,2017-09-01 03:30:00,,0 days 22:30:00
8,19,1465,1470,4737.874392,4792.81176,1043.8099919999977,0.01159536185525778,2017-09-01 19:15:00,2017-09-01 20:30:00,,0 days 01:15:00
9,-21,1669,1669,4477.468296,4412.61548,1361.909135999992,0.014484260236512836,2017-09-03 22:15:00,2017-09-03 22:15:00,,0 days 00:00:00
10,-31,2774,2774,3029.7876,3012.4021199999997,538.9498800000115,0.005738184419264325,2017-09-15 17:15:00,2017-09-15 17:15:00,,0 days 00:00:00
11,-27,2966,2967,3548.5800000000004,3507.4,1111.8600000000079,0.011604641856742814,2017-09-17 17:15:00,2017-09-17 17:30:00,,0 days 00:15:00
12,-25,3213,3277,3868.7518800000003,3994.2343800000003,-3137.062500000002,-0.03243487923035282,2017-09-20 07:00:00,2017-09-20 23:00:00,,0 days 16:00:00
13,25,3547,3552,3721.488,3764.62988,1078.5470000000032,0.011592642512887386,2017-09-23 18:30:00,2017-09-23 19:45:00,,0 days 01:15:00
14,24,3933,3934,3971.5879999999997,4017.64,1105.2480000000032,0.011595361855258002,2017-09-27 19:00:00,2017-09-27 19:15:00,,0 days 00:15:00
15,-23,4033,4094,4139.303616,4098.224,944.8311679999997,0.009924281910902,2017-09-28 20:00:00,2017-09-29 11:15:00,,0 days 15:15:00
16,23,4220,4242,4281.722004,4352.42984,1626.2802279999905,0.016513878279333483,2017-09-30 18:45:00,2017-10-01 00:15:00,,0 days 05:30:00
17,-23,4338,4377,4288.274004,4430.2878,-3266.3173080000042,-0.03311677282457537,2017-10-02 00:15:00,2017-10-02 10:00:00,,0 days 09:45:00
18,21,4411,4429,4463.704768,4515.544,1088.6238720000056,0.01161349925551347,2017-10-02 18:30:00,2017-10-02 23:00:00,,0 days 04:30:00
19,-22,4509,4510,4270.261212,4209.9174,1327.5638640000016,0.014131175823723807,2017-10-03 19:00:00,2017-10-03 19:15:00,,0 days 00:15:00
20,-23,4600,4603,4273.299996000001,4223.70988,1140.572668000007,0.011604641856742814,2017-10-04 17:45:00,2017-10-04 18:30:00,,0 days 00:45:00
21,-24,4697,4709,4112.5843079999995,4271.37,-3810.856608000009,-0.038609711098474664,2017-10-05 18:00:00,2017-10-05 21:00:00,,0 days 03:00:00
22,21,4799,4944,4411.764,4460.98708,1033.6846799999948,0.01115723325182394,2017-10-06 19:30:00,2017-10-08 07:45:00,,1 days 12:15:00
23,21,4995,5002,4484.7932,4540.0,1159.3427999999985,0.012309776067266576,2017-10-08 20:30:00,2017-10-08 22:15:00,,0 days 01:45:00
24,-20,5178,5234,4782.0864,4725.61388,1129.4504000000052,0.011809180193816715,2017-10-10 18:15:00,2017-10-11 08:15:00,,0 days 14:00:00
25,20,5270,5355,4821.928,4888.94164,1340.2728000000025,0.013897685738982535,2017-10-11 17:15:00,2017-10-12 14:30:00,,0 days 21:15:00
26,-18,5751,5861,5598.319776,5532.82964,1178.8224480000063,0.011698177063903414,2017-10-16 17:30:00,2017-10-17 21:00:00,,1 days 03:30:00
27,-18,5875,5911,5586.724416,5521.89248,1166.9748479999926,0.011604641856742592,2017-10-18 00:30:00,2017-10-18 09:30:00,,0 days 09:00:00
28,-19,5956,5962,5267.882004,5209.71412,1105.1897960000078,0.011041986885019894,2017-10-18 20:45:00,2017-10-18 22:15:00,,0 days 01:30:00
