,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,-241,214,537,4048.120104,4034.7972805973973,3210.8004400272766,0.003291113667659773,2017-08-19 18:30:00,2017-08-23 03:15:00,3 days 08:45:00
1,149,545,1056,3978.7308559999997,4167.66227141552,28150.78089691254,0.047485347024820435,2017-08-23 05:15:00,2017-08-28 13:00:00,5 days 07:45:00
2,-186,1066,1190,4243.8717719999995,4484.571000000001,-44770.056408000244,-0.05671689460272433,2017-08-28 15:30:00,2017-08-29 22:30:00,1 days 07:00:00
3,214,1276,1542,4539.905236,4582.924855310124,9206.198532366676,0.009475884864069917,2017-08-30 20:00:00,2017-09-02 14:30:00,2 days 18:30:00
4,133,1549,1578,4727.910408000001,4493.5,-31176.584264000085,-0.04958012901499986,2017-09-02 16:15:00,2017-09-02 23:30:00,0 days 07:15:00
5,-132,1590,1856,4521.1908,4252.300691800454,35493.49428234012,0.05947329367288512,2017-09-03 02:30:00,2017-09-05 21:00:00,2 days 18:30:00
6,-177,1860,1886,4219.2916079999995,4432.9215,-37812.490884000144,-0.050631696466522325,2017-09-05 22:00:00,2017-09-06 04:30:00,0 days 06:30:00
7,195,1893,2123,4401.179768,4486.7203206921895,16680.407774976957,0.019435823393112894,2017-09-06 06:15:00,2017-09-08 22:30:00,2 days 16:15:00
8,-131,2135,2320,4356.326772,4124.050081290085,30428.24648299897,0.05331939105276917,2017-09-09 01:30:00,2017-09-10 23:45:00,1 days 22:15:00
9,-215,2321,2370,4125.339204,4316.55,-41110.321140000065,-0.04635032091775604,2017-09-11 00:00:00,2017-09-11 12:15:00,0 days 12:15:00
10,136,2383,2525,4223.3686720000005,4179.534605951726,-5961.432982565333,-0.010378934318210131,2017-09-11 15:30:00,2017-09-13 03:00:00,1 days 11:30:00
11,-232,2535,2797,4135.5951000000005,3413.6448442327414,167492.4593380041,0.17456985955111004,2017-09-13 05:30:00,2017-09-15 23:00:00,2 days 17:30:00
12,83,2809,3333,3591.4359999999997,3805.645604047996,17779.397135983705,0.059644555561618295,2017-09-16 02:00:00,2017-09-21 13:00:00,5 days 11:00:00
13,-280,3393,3552,3672.1805400000003,3763.6290742298092,-25605.589584346508,-0.02490306052049629,2017-09-22 04:00:00,2017-09-23 19:45:00,1 days 15:45:00
14,276,3771,4096,3910.3535159999997,4042.8994639927396,36582.681645996214,0.033896154772299125,2017-09-26 02:30:00,2017-09-29 11:45:00,3 days 09:15:00
15,-188,4112,4150,4054.9073880000005,4259.367,-38438.40705599994,-0.050422757522174955,2017-09-29 15:45:00,2017-09-30 01:15:00,0 days 09:30:00
16,232,4154,4492,4207.672396,4300.790001415808,21603.284456467387,0.022130431424349783,2017-09-30 02:15:00,2017-10-03 14:45:00,3 days 12:30:00
17,-262,4505,4739,4300.2792,4338.991753516186,-10142.689021240689,-0.009002334898670306,2017-10-03 18:00:00,2017-10-06 04:30:00,2 days 10:30:00
18,231,5131,5653,4771.907999999999,5693.235575356211,212826.66990728478,0.19307320580283838,2017-10-10 06:30:00,2017-10-15 17:00:00,5 days 10:30:00
19,-185,5666,5810,5547.760008,5764.701305900527,-40134.1401115974,-0.03910430472617632,2017-10-15 20:15:00,2017-10-17 08:15:00,1 days 12:00:00
20,-208,5946,5982,5367.8220120000005,5402.974242378607,-7311.66391875023,-0.006548695224994905,2017-10-18 18:15:00,2017-10-19 03:15:00,0 days 09:00:00
21,-204,5983,6044,5405.826804,5678.379,-55600.64798399992,-0.050418225718649845,2017-10-19 03:30:00,2017-10-19 18:45:00,0 days 15:15:00
22,-189,6321,6674,5868.681588,5688.714913731113,34013.70143681979,0.030665605480603153,2017-10-22 16:00:00,2017-10-26 08:15:00,3 days 16:15:00
23,205,7055,7395,6102.470012,6816.89634544549,146457.39835632543,0.11707166639748001,2017-10-30 07:30:00,2017-11-02 20:30:00,3 days 13:00:00
24,110,7396,7730,6802.719999999999,7283.153387705808,52847.672647638974,0.07062371929254896,2017-11-02 20:45:00,2017-11-06 08:15:00,3 days 11:30:00
25,-195,7755,7937,7247.119992000001,7338.987773345461,-17914.217362364812,-0.012676453742572535,2017-11-06 14:30:00,2017-11-08 12:00:00,1 days 21:30:00
26,132,7998,7999,7403.9604,7030.95,-49237.37280000001,-0.05037984806077567,2017-11-09 03:15:00,2017-11-09 03:30:00,0 days 00:15:00
27,75,8004,8162,7247.897999999999,6979.341253198797,-20141.756010090172,-0.037053052733523884,2017-11-09 04:45:00,2017-11-10 20:15:00,1 days 15:30:00
28,-127,8176,8341,6722.080092000001,6376.634641702471,43871.57218778637,0.051389665932223494,2017-11-10 23:45:00,2017-11-12 17:00:00,1 days 17:15:00
29,-51,8342,8456,6390.402816000001,6510.735875716782,-6136.986045555855,-0.01883027771199286,2017-11-12 17:15:00,2017-11-13 21:45:00,1 days 04:30:00
30,114,8462,9184,6442.596008,8060.443743617197,184434.64186036037,0.25111736536145624,2017-11-13 23:15:00,2017-11-21 11:45:00,7 days 12:30:00
31,136,9196,9408,8043.356056,8063.043662456645,2677.514478103716,0.0024476855580648493,2017-11-21 14:45:00,2017-11-23 19:45:00,2 days 05:00:00
32,-197,9477,9595,8097.519696,8448.215751862295,-69087.12300487212,-0.04330907105240289,2017-11-24 13:00:00,2017-11-25 18:30:00,1 days 05:30:00
33,173,9664,9964,8721.957387999999,10051.266695249406,229970.51015414734,0.15240951636364564,2017-11-26 11:45:00,2017-11-29 14:45:00,3 days 03:00:00
34,64,9968,10014,10304.119999999999,10241.462450402254,-4010.0831742556766,-0.006080824912534477,2017-11-29 15:45:00,2017-11-30 03:15:00,0 days 11:30:00
35,49,10015,10018,10294.105996,9785.0,-24946.19380400001,-0.049456067015224536,2017-11-30 03:30:00,2017-11-30 04:15:00,0 days 00:45:00
36,-29,10029,10044,9880.5462,10378.725,-14447.18519999999,-0.050420168067226934,2017-11-30 07:00:00,2017-11-30 10:45:00,0 days 03:45:00
37,46,10060,10079,10185.092408,9689.05,-22817.950768000053,-0.048702789148027614,2017-11-30 14:45:00,2017-11-30 19:30:00,0 days 04:45:00
38,-47,10104,10109,9067.391592,9524.571,-21487.432176,-0.050420168067226934,2017-12-01 01:45:00,2017-12-01 03:00:00,0 days 01:15:00
39,-49,10110,10130,9496.2,9985.4895,-23975.18549999995,-0.05152476780185755,2017-12-01 03:15:00,2017-12-01 08:15:00,0 days 05:00:00
40,-59,10135,10182,9796.08,10290.0,-29141.280000000006,-0.050420168067226934,2017-12-01 09:30:00,2017-12-01 21:15:00,0 days 11:45:00
41,66,10195,10407,10479.680196,11243.345003897457,50401.877321232205,0.07287100308547023,2017-12-02 00:30:00,2017-12-04 05:30:00,2 days 05:00:00
42,102,10408,10411,11426.688848,10867.2685,-57060.875495999964,-0.04895734498781901,2017-12-04 05:45:00,2017-12-04 06:30:00,0 days 00:45:00
43,53,10416,10824,11136.993016,14274.397005372768,166282.4114367567,0.28171015146237455,2017-12-04 07:45:00,2017-12-08 14:15:00,4 days 06:30:00
44,19,10826,10849,14865.944,14088.5,-14771.43599999999,-0.05229698161112406,2017-12-08 14:45:00,2017-12-08 20:30:00,0 days 05:45:00
45,21,10850,10964,14605.84,14148.176807193302,-9610.92704894066,-0.03133426032372655,2017-12-08 20:45:00,2017-12-10 01:15:00,1 days 04:30:00
46,-28,10974,10990,13993.830228,14698.95,-19743.353616,-0.050387903848450266,2017-12-10 03:45:00,2017-12-10 07:45:00,0 days 04:00:00
47,-32,10991,11052,14614.261956000002,15346.8,-23441.21740799991,-0.05012487433203883,2017-12-10 08:00:00,2017-12-10 23:15:00,0 days 15:15:00
48,30,11064,11080,15297.856695999999,14489.894,-24238.88087999996,-0.052815418006318504,2017-12-11 02:15:00,2017-12-11 06:15:00,0 days 04:00:00
49,35,11081,11248,14735.3918,16029.435538281625,45291.53083985689,0.08781875336912481,2017-12-11 06:30:00,2017-12-13 00:15:00,1 days 17:45:00
50,48,11251,11293,16326.467976,15496.096,-39857.85484800002,-0.05086047865470056,2017-12-13 01:00:00,2017-12-13 11:30:00,0 days 10:30:00
51,-37,11303,11476,15744.209796000001,16538.0355,-29371.55104800003,-0.050420168067226934,2017-12-13 14:00:00,2017-12-15 09:15:00,1 days 19:15:00
52,45,11492,11743,17061.862016,18731.016521057147,75111.95272757164,0.09782956300384305,2017-12-15 13:15:00,2017-12-18 04:00:00,2 days 14:45:00
53,54,11744,11767,18784.010599999998,17786.03886892423,-53890.473478091364,-0.0531287887516293,2017-12-18 04:15:00,2017-12-18 10:00:00,0 days 05:45:00
54,-28,11774,11810,18286.302552,19146.75,-24092.52854399997,-0.04705420604046018,2017-12-18 11:45:00,2017-12-18 20:45:00,0 days 09:00:00
55,37,11821,11895,18786.991791999997,17840.506,-35019.97430399984,-0.050379848060775445,2017-12-19 00:30:00,2017-12-19 19:00:00,0 days 18:30:00
56,-26,11906,12544,17772.888,14626.531596276584,81805.2664968088,0.17703124015204597,2017-12-19 21:45:00,2017-12-26 13:15:00,6 days 15:30:00
57,47,12559,12682,15079.189263999999,15214.734811938339,6370.640753101978,0.008988914825940997,2017-12-26 17:00:00,2017-12-27 23:45:00,1 days 06:45:00
58,48,12683,12690,15266.104,14493.3045,-37094.37599999996,-0.05062192030134205,2017-12-28 00:00:00,2017-12-28 01:45:00,0 days 01:45:00
59,-36,12697,13272,14894.049996000002,14068.45109431977,29721.560460488363,0.05543145765604107,2017-12-28 03:30:00,2018-01-03 03:15:00,5 days 23:45:00
60,39,13285,13420,14605.850004,14198.456924982094,-15888.33008169832,-0.027892459453324192,2018-01-03 06:30:00,2018-01-04 18:00:00,1 days 11:30:00
61,-60,13430,13488,14394.24,15120.0105,-43546.23000000003,-0.05042089752567702,2018-01-04 20:30:00,2018-01-05 11:00:00,0 days 14:30:00
62,74,13493,13739,14950.978,15968.428129209837,75291.30956152797,0.06805241297324072,2018-01-05 12:15:00,2018-01-08 01:45:00,2 days 13:30:00
63,-52,13750,14302,16184.57358,14515.195993609368,86807.63449231288,0.10314621995685791,2018-01-08 04:30:00,2018-01-13 22:30:00,5 days 18:00:00
64,79,14308,14362,14363.232995999999,13639.6155,-57165.782183999916,-0.05037984806077567,2018-01-14 00:00:00,2018-01-14 13:30:00,0 days 13:30:00
65,-68,14372,14491,13813.4724,14111.637749624766,-20275.24377448405,-0.02158511205515312,2018-01-14 16:00:00,2018-01-15 21:45:00,1 days 05:45:00
66,62,14503,14536,13951.668436,13248.7855,-43578.742031999995,-0.05037984806077567,2018-01-16 00:45:00,2018-01-16 09:00:00,0 days 08:15:00
67,-44,14549,14777,13108.134648,11811.528254590354,57050.6813100244,0.09891616375847023,2018-01-16 12:15:00,2018-01-18 21:15:00,2 days 09:00:00
68,37,14785,14816,11337.5332,10766.35,-21133.77839999998,-0.05037984806077567,2018-01-18 23:15:00,2018-01-19 07:00:00,0 days 07:45:00
