,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,108,253,274,11714.98412,11560.0,-16738.28495999991,-0.013229562960773267,2017-12-04 00:15:00,2017-12-04 05:30:00,0 days 05:15:00
1,-28,276,277,11345.460000000001,11362.27,-470.67999999998574,-0.0014816499286938178,2017-12-04 06:00:00,2017-12-04 06:15:00,0 days 00:15:00
2,-22,278,309,11136.84348,11510.99,-8231.223440000005,-0.03359538280949237,2017-12-04 06:30:00,2017-12-04 14:15:00,0 days 07:45:00
3,-118,334,344,11116.251720000002,11355.0,-28172.29703999976,-0.021477408573831624,2017-12-04 21:00:00,2017-12-04 23:30:00,0 days 02:30:00
4,95,382,698,11575.658412,15899.0,410717.4508599999,0.3734855879574135,2017-12-05 09:00:00,2017-12-08 16:00:00,3 days 07:00:00
5,-11,716,728,14269.499915999999,15349.97,-11885.170924000005,-0.07571884721681799,2017-12-08 20:30:00,2017-12-08 23:30:00,0 days 03:00:00
6,10,924,949,15353.98914,14199.5,-11544.891399999997,-0.07519147821932093,2017-12-11 00:30:00,2017-12-11 06:45:00,0 days 06:15:00
7,20,963,1075,15606.260008,16329.84,14471.599840000017,0.04636472746379239,2017-12-11 10:15:00,2017-12-12 14:15:00,1 days 04:00:00
8,-40,1106,1107,16230.895044,16600.0,-14764.198239999969,-0.0227408873632291,2017-12-12 22:00:00,2017-12-12 22:15:00,0 days 00:15:00
9,-21,1116,1141,15956.454864000001,16449.97,-10363.817856,-0.030928871118699464,2017-12-13 00:30:00,2017-12-13 06:45:00,0 days 06:15:00
10,-77,1157,1203,16123.008216,16408.18,-21958.227368000007,-0.017687256632233472,2017-12-13 10:45:00,2017-12-13 22:15:00,0 days 11:30:00
11,-39,1220,1230,15349.017936,15936.68,-22918.820496000004,-0.03828662305629882,2017-12-14 02:30:00,2017-12-14 05:00:00,0 days 02:30:00
12,-39,1274,1278,15502.606476,15820.29,-12389.657436000001,-0.02049226525177006,2017-12-14 16:00:00,2017-12-14 17:00:00,0 days 01:00:00
13,30,1297,1306,16228.4888,15851.12,-11321.063999999951,-0.023253477551156698,2017-12-14 21:45:00,2017-12-15 00:00:00,0 days 02:15:00
14,50,1344,1439,16580.919716,17450.21,43464.51419999994,0.05242714510951796,2017-12-15 09:30:00,2017-12-16 09:15:00,0 days 23:45:00
15,-33,1596,1597,18932.424,19160.23,-7517.598000000016,-0.012032584945276925,2017-12-18 00:30:00,2017-12-18 00:45:00,0 days 00:15:00
16,-26,1607,1625,18959.86302,19329.8,-9618.361479999963,-0.01951158505785444,2017-12-18 03:15:00,2017-12-18 07:45:00,0 days 04:30:00
17,-20,1632,1678,18502.596,19116.11,-12270.279999999984,-0.03315826600764549,2017-12-18 09:30:00,2017-12-18 21:00:00,0 days 11:30:00
18,-16,1683,1719,18332.664,18785.02,-7237.695999999996,-0.02467486449323464,2017-12-18 23:15:00,2017-12-19 08:15:00,0 days 09:00:00
19,-115,1761,1862,18317.670000000002,17241.62,123745.75000000033,0.05874382495153607,2017-12-19 18:45:00,2017-12-20 20:00:00,1 days 01:15:00
20,20,1870,1872,17696.0756,17107.9,-11763.511999999973,-0.033237629251538614,2017-12-20 22:00:00,2017-12-20 22:30:00,0 days 00:30:00
21,-16,1883,1931,16094.5596,16900.0,-12887.046399999992,-0.05004426464704248,2017-12-21 01:15:00,2017-12-21 13:15:00,0 days 12:00:00
