,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,1,253,274,11714.98412,11560.0,-154.98411999999917,-0.013229562960773267,2017-12-04 00:15:00,2017-12-04 05:30:00,0 days 05:15:00
1,-1,276,278,11345.460000000001,11009.5,335.96000000000095,0.029611844737895243,2017-12-04 06:00:00,2017-12-04 06:30:00,0 days 00:30:00
2,-1,279,280,10997.119392,10671.455,325.6643920000006,0.02961360883622932,2017-12-04 06:45:00,2017-12-04 07:00:00,0 days 00:15:00
3,-1,281,435,10774.448496,11801.63,-1027.1815039999983,-0.09533494956900457,2017-12-04 07:15:00,2017-12-05 22:15:00,1 days 15:00:00
4,1,436,446,11857.741199999999,11626.01,-231.73119999999835,-0.019542609008872502,2017-12-05 22:30:00,2017-12-06 01:00:00,0 days 02:30:00
5,1,486,636,11865.884456,15419.469,3553.5845439999994,0.2994791123389984,2017-12-06 11:00:00,2017-12-08 00:30:00,1 days 13:30:00
6,1,639,640,15706.279999999999,14895.89,-810.3899999999994,-0.051596558828697736,2017-12-08 01:15:00,2017-12-08 01:30:00,0 days 00:15:00
7,1,661,690,15688.773,14900.0,-788.7729999999992,-0.05027627080843089,2017-12-08 06:45:00,2017-12-08 14:00:00,0 days 07:15:00
8,-1,691,691,14974.008,14428.75,545.2579999999998,0.03641363087290994,2017-12-08 14:15:00,2017-12-08 14:15:00,0 days 00:00:00
9,-1,692,832,14394.230004000001,13903.01,491.2200040000007,0.03412617443680532,2017-12-08 14:30:00,2017-12-10 01:30:00,1 days 11:00:00
10,1,924,949,15353.98914,14199.5,-1154.4891399999997,-0.07519147821932093,2017-12-11 00:30:00,2017-12-11 06:45:00,0 days 06:15:00
11,1,963,1161,15606.260008,14899.98,-706.2800079999997,-0.045256198963617766,2017-12-11 10:15:00,2017-12-13 11:45:00,2 days 01:30:00
12,-1,1162,1163,15293.860008,14840.970899999998,452.8891080000012,0.02961247897934871,2017-12-13 12:00:00,2017-12-13 12:15:00,0 days 00:15:00
