,EntryTime,Yong,Yunseo,Seoho,Moon
0,2017-08-19 18:30:00,-42317.62187200004,0.0,0.0,0.0
2812,2017-08-23 18:15:00,0.0,0.0,-330.94835999996576,-13211.833967999615
2811,2017-08-23 19:15:00,0.0,0.0,-4511.319839999987,0.0
1,2017-08-23 21:45:00,55255.49251500416,0.0,0.0,0.0
2813,2017-08-25 08:15:00,0.0,0.0,-3901.72283999992,0.0
4047,2017-08-29 22:30:00,0.0,0.0,0.0,-15373.689408000206
2815,2017-08-29 22:45:00,0.0,0.0,-3569.1119999999773,0.0
2814,2017-08-29 23:30:00,0.0,0.0,-2938.8599999999587,0.0
4048,2017-08-30 18:45:00,0.0,0.0,0.0,-98810.60279999996
4049,2017-08-31 19:45:00,0.0,0.0,0.0,27133.049088000484
4050,2017-09-01 18:00:00,0.0,0.0,0.0,-5413.595999999643
2,2017-09-02 16:15:00,-31428.00852799999,0.0,0.0,0.0
3,2017-09-03 02:30:00,3955.795638217573,0.0,0.0,0.0
2816,2017-09-06 04:15:00,0.0,0.0,22686.38388000005,0.0
4,2017-09-06 11:45:00,-11268.777059744283,0.0,0.0,0.0
4051,2017-09-06 18:00:00,0.0,0.0,0.0,-26089.178939999823
2818,2017-09-07 08:45:00,0.0,0.0,-17221.310640000018,0.0
4052,2017-09-07 22:30:00,0.0,0.0,0.0,2400.639359999982
2817,2017-09-07 22:45:00,0.0,0.0,-23403.182399999987,0.0
4053,2017-09-08 22:30:00,0.0,0.0,0.0,93022.30560000024
5,2017-09-09 01:30:00,14774.629621623462,0.0,0.0,0.0
2819,2017-09-11 02:30:00,0.0,0.0,1542.9729599999882,0.0
6,2017-09-11 03:45:00,138830.6307537555,0.0,0.0,0.0
2821,2017-09-12 15:00:00,0.0,0.0,-23175.89999999998,0.0
2820,2017-09-12 16:45:00,0.0,0.0,-28074.75875999997,0.0
4054,2017-09-14 19:00:00,0.0,0.0,0.0,81830.66892
4055,2017-09-15 18:15:00,0.0,0.0,0.0,-66354.59999999993
2822,2017-09-15 23:15:00,0.0,0.0,16293.644640000006,0.0
2823,2017-09-16 00:00:00,0.0,0.0,-1935.9003600000187,0.0
7,2017-09-16 02:00:00,11114.173561977552,0.0,0.0,0.0
2824,2017-09-18 01:30:00,0.0,0.0,-1930.3185599999915,0.0
2826,2017-09-18 11:45:00,0.0,0.0,16694.774999999994,0.0
2825,2017-09-18 12:45:00,0.0,0.0,18109.458000000028,0.0
2827,2017-09-18 22:30:00,0.0,0.0,-22203.722520000003,0.0
4056,2017-09-20 23:15:00,0.0,0.0,0.0,-86383.52954399996
8,2017-09-22 04:00:00,-50007.34117847664,0.0,0.0,0.0
4057,2017-09-22 19:15:00,0.0,0.0,0.0,-14902.18320000003
2829,2017-09-23 14:15:00,0.0,0.0,-4164.02783999999,0.0
2828,2017-09-23 15:30:00,0.0,0.0,-4133.415600000008,0.0
2830,2017-09-25 11:30:00,0.0,0.0,674.7120000000314,0.0
2831,2017-09-25 13:15:00,0.0,0.0,16726.563360000036,0.0
2833,2017-09-25 23:30:00,0.0,0.0,6581.688479999998,-3135.0973439999507
2832,2017-09-26 01:15:00,0.0,0.0,-1354.0845600000011,0.0
9,2017-09-26 02:30:00,12864.630753244746,0.0,0.0,0.0
4058,2017-09-27 19:15:00,0.0,0.0,0.0,42614.183040000295
2834,2017-09-27 19:30:00,0.0,0.0,15703.829999999964,0.0
2835,2017-09-27 21:00:00,0.0,0.0,18253.900800000007,0.0
4059,2017-09-28 23:45:00,0.0,0.0,0.0,31306.768584000045
10,2017-09-29 15:45:00,-38743.45811200005,0.0,0.0,0.0
11,2017-09-30 02:15:00,-1480.1112923569451,0.0,0.0,0.0
2837,2017-10-02 08:30:00,0.0,0.0,-7304.144399999977,0.0
2836,2017-10-02 10:00:00,0.0,0.0,-9744.120000000004,0.0
4060,2017-10-02 19:15:00,0.0,0.0,0.0,-68949.50399999949
4061,2017-10-03 19:00:00,0.0,0.0,0.0,-13323.57119999989
4062,2017-10-04 18:00:00,0.0,0.0,0.0,27735.01286399986
2839,2017-10-05 21:15:00,0.0,0.0,9012.420000000076,0.0
2838,2017-10-05 21:45:00,0.0,0.0,4241.41236000004,0.0
2841,2017-10-08 08:00:00,0.0,0.0,13969.440000000031,0.0
2840,2017-10-08 22:45:00,0.0,0.0,3525.264000000016,0.0
2843,2017-10-09 23:45:00,0.0,0.0,20172.712680000117,0.0
2842,2017-10-10 02:15:00,0.0,0.0,20934.783720000058,0.0
4063,2017-10-10 17:15:00,0.0,0.0,0.0,-79459.3103999996
12,2017-10-11 10:00:00,183622.71243113905,0.0,0.0,0.0
2844,2017-10-12 17:00:00,0.0,0.0,22365.532800000045,0.0
4064,2017-10-12 17:15:00,0.0,0.0,0.0,16034.461200000078
2845,2017-10-13 01:00:00,0.0,0.0,22654.25388000005,0.0
2846,2017-10-13 09:30:00,0.0,0.0,24383.93040000002,0.0
2848,2017-10-13 11:15:00,0.0,0.0,-4813.560359999992,0.0
2847,2017-10-13 13:15:00,0.0,0.0,-27772.74035999998,0.0
2850,2017-10-15 08:45:00,0.0,0.0,-26631.488160000044,0.0
2849,2017-10-15 11:00:00,0.0,0.0,-29732.327999999987,0.0
13,2017-10-15 20:15:00,1348.7300549415204,0.0,0.0,0.0
2851,2017-10-16 07:30:00,0.0,0.0,3393.539639999972,0.0
2852,2017-10-19 06:15:00,0.0,0.0,-866.7172799998843,0.0
2853,2017-10-19 07:45:00,0.0,0.0,24768.31032000002,0.0
2854,2017-10-19 11:00:00,0.0,0.0,16826.57964,0.0
4066,2017-10-19 18:45:00,0.0,0.0,0.0,118832.7198240002
4065,2017-10-20 23:30:00,0.0,0.0,0.0,88173.36847200047
2855,2017-10-20 23:45:00,0.0,0.0,25932.358080000067,0.0
2856,2017-10-21 05:00:00,0.0,0.0,-13798.292759999904,0.0
14,2017-10-22 16:00:00,9766.254498518603,0.0,0.0,0.0
4067,2017-10-23 17:30:00,0.0,0.0,0.0,24868.01865599997
4068,2017-10-25 17:15:00,0.0,0.0,0.0,7375.380000000199
2857,2017-10-25 17:30:00,0.0,0.0,-2901.5999999998985,0.0
2858,2017-10-26 05:15:00,0.0,0.0,25087.76928000006,0.0
2859,2017-10-26 06:45:00,0.0,0.0,25356.963600000046,0.0
4069,2017-10-26 19:30:00,0.0,0.0,0.0,104619.41783999972
2860,2017-10-27 10:00:00,0.0,0.0,-18481.434839999994,0.0
4070,2017-10-27 22:30:00,0.0,0.0,0.0,6772.0514400002185
2861,2017-10-29 16:15:00,0.0,0.0,25844.49072,0.0
2862,2017-10-30 00:45:00,0.0,0.0,26248.32000000001,0.0
2864,2017-10-30 04:45:00,0.0,0.0,4377.23892,0.0
2863,2017-10-30 07:15:00,0.0,0.0,-4668.678000000018,0.0
15,2017-10-30 07:30:00,221842.3913615345,0.0,0.0,0.0
