,EntryTime,Seoho,Seoho_proto
1,2017-08-23 18:15:00,-330.94835999996576,-172.82858799998212
0,2017-08-23 19:15:00,-4511.319839999987,-1904.779487999995
2,2017-08-25 08:15:00,-3901.72283999992,-1950.86141999996
4,2017-08-29 22:45:00,-3569.1119999999773,-1705.2423999999892
3,2017-08-29 23:30:00,-2938.8599999999587,-1110.2359999999844
5,2017-09-06 04:15:00,22686.38388000005,11343.191940000024
7,2017-09-07 08:45:00,-17221.310640000018,-8227.95952800001
6,2017-09-07 22:45:00,-23403.182399999987,-8841.202239999995
1424,2017-09-08 01:30:00,0.0,-9294.993972000011
8,2017-09-11 02:30:00,1542.9729599999882,788.630623999994
10,2017-09-12 15:00:00,-23175.89999999998,-11587.94999999999
9,2017-09-12 16:45:00,-28074.75875999997,-10917.96173999999
11,2017-09-15 23:15:00,16293.644640000006,9414.105792000004
12,2017-09-16 00:00:00,-1935.9003600000187,-1097.0102040000106
13,2017-09-18 01:30:00,-1930.3185599999915,-1093.8471839999952
15,2017-09-18 11:45:00,16694.774999999994,9274.874999999996
14,2017-09-18 12:45:00,18109.458000000028,8048.648000000012
1425,2017-09-18 16:00:00,0.0,-3149.290124000004
16,2017-09-18 22:30:00,-22203.722520000003,-10115.029148
18,2017-09-23 14:15:00,-4164.02783999999,-2405.882751999994
17,2017-09-23 15:30:00,-4133.415600000008,-1883.0004400000037
1426,2017-09-23 19:45:00,0.0,-2684.9132639999957
19,2017-09-25 11:30:00,674.7120000000314,382.3368000000178
20,2017-09-25 13:15:00,16726.563360000036,9292.53520000002
22,2017-09-25 23:30:00,6581.688479999998,2852.065007999999
21,2017-09-26 01:15:00,-1354.0845600000011,-616.8607440000005
23,2017-09-27 19:30:00,15703.829999999964,8375.375999999982
24,2017-09-27 21:00:00,18253.900800000007,7707.202560000002
1427,2017-09-28 04:15:00,0.0,-629.4275999999891
26,2017-10-02 08:30:00,-7304.144399999977,-3570.915039999989
25,2017-10-02 10:00:00,-9744.120000000004,-3789.380000000001
1428,2017-10-02 23:15:00,0.0,-6998.170031999973
28,2017-10-05 21:15:00,9012.420000000076,4506.210000000037
27,2017-10-05 21:45:00,4241.41236000004,1696.564944000016
1429,2017-10-06 16:00:00,0.0,-557.4799999999959
30,2017-10-08 08:00:00,13969.440000000031,6674.288000000015
29,2017-10-08 22:45:00,3525.264000000016,1331.766400000006
1430,2017-10-09 00:45:00,0.0,1216.4027040000192
32,2017-10-09 23:45:00,20172.712680000117,9413.932584000053
31,2017-10-10 02:15:00,20934.783720000058,7676.087364000022
1431,2017-10-10 02:45:00,0.0,6123.733055999964
1432,2017-10-10 06:00:00,0.0,-2670.326315999977
33,2017-10-12 17:00:00,22365.532800000045,9940.23680000002
34,2017-10-13 01:00:00,22654.25388000005,9565.129416000022
35,2017-10-13 09:30:00,24383.93040000002,7857.044240000006
37,2017-10-13 11:15:00,-4813.560359999992,-1658.004123999997
36,2017-10-13 13:15:00,-27772.74035999998,-8948.994115999994
39,2017-10-15 08:45:00,-26631.488160000044,-10060.784416000017
38,2017-10-15 11:00:00,-29732.327999999987,-9250.057599999996
1433,2017-10-15 12:00:00,0.0,-7749.454943999994
40,2017-10-16 07:30:00,3393.539639999972,1319.709859999989
1434,2017-10-16 09:15:00,0.0,-1141.4515679999968
41,2017-10-19 06:15:00,-866.7172799998843,-346.68691199995374
42,2017-10-19 07:45:00,24768.31032000002,9632.120680000007
43,2017-10-19 11:00:00,16826.57964,5234.935888
44,2017-10-20 23:45:00,25932.358080000067,9796.668608000024
45,2017-10-21 05:00:00,-13798.292759999904,-5059.374011999965
1435,2017-10-21 13:30:00,0.0,-6319.5664479999705
46,2017-10-25 17:30:00,-2901.5999999998985,-1128.3999999999603
47,2017-10-26 05:15:00,25087.76928000006,9756.35472000002
48,2017-10-26 06:45:00,25356.963600000046,7888.833120000014
1436,2017-10-26 20:15:00,0.0,-1057.6806239999987
49,2017-10-27 10:00:00,-18481.434839999994,-6160.4782799999975
50,2017-10-29 16:15:00,25844.49072,10050.635280000002
51,2017-10-30 00:45:00,26248.32000000001,7874.496000000004
53,2017-10-30 04:45:00,4377.23892,1361.807664
52,2017-10-30 07:15:00,-4668.678000000018,-1452.4776000000056
1437,2017-10-30 20:15:00,0.0,-3220.6238239999766
54,2017-10-31 20:45:00,27743.67071999999,10172.679263999997
55,2017-10-31 22:45:00,28011.555360000013,8092.227104000003
1438,2017-11-01 08:45:00,0.0,6430.681360000017
57,2017-11-01 18:45:00,30406.63427999998,7770.584315999995
56,2017-11-01 19:30:00,27900.58788000003,7130.150236000008
1439,2017-11-01 21:00:00,0.0,5924.752775999999
1440,2017-11-02 08:30:00,0.0,4983.119820000015
1441,2017-11-02 09:45:00,0.0,4976.098259999994
58,2017-11-02 19:45:00,4165.594200000005,1388.5314000000017
1443,2017-11-03 12:45:00,0.0,-893.2561920000007
1442,2017-11-03 18:15:00,0.0,-3336.6725359999928
59,2017-11-04 23:45:00,-3240.901079999976,-1044.2903479999925
60,2017-11-05 01:15:00,-1669.1410799999812,-537.834347999994
1445,2017-11-05 05:30:00,0.0,-3186.5118159999765
1444,2017-11-05 22:30:00,0.0,-4276.86479999999
61,2017-11-08 10:30:00,1539.7203600000555,496.132116000018
62,2017-11-08 12:00:00,32578.22735999997,10497.428815999992
1446,2017-11-08 15:30:00,0.0,8415.497139999992
1447,2017-11-08 21:30:00,0.0,-12294.179999999988
63,2017-11-09 02:30:00,-83081.34072000002,-23078.150200000004
64,2017-11-13 15:15:00,-3271.8524400000024,-1199.6792280000009
66,2017-11-13 20:45:00,8066.591279999957,2868.1213439999847
65,2017-11-13 22:00:00,-2916.900360000027,-810.2501000000075
68,2017-11-15 09:15:00,31015.17144000002,10683.003496000008
67,2017-11-15 09:45:00,29764.402200000004,8267.889500000001
1448,2017-11-15 16:45:00,0.0,7263.251280000004
69,2017-11-15 21:00:00,31239.07200000001,9371.721600000004
70,2017-11-15 21:45:00,31491.16164000001,7347.937716000002
1449,2017-11-15 23:15:00,0.0,5540.886092000006
1450,2017-11-16 00:15:00,0.0,4636.112000000009
71,2017-11-16 16:45:00,32721.120000000017,7271.360000000004
72,2017-11-16 20:15:00,33426.164160000044,8542.241952000011
1451,2017-11-17 03:00:00,0.0,-2471.4842399999725
74,2017-11-17 04:00:00,-23543.045639999946,-5231.787919999988
73,2017-11-17 07:00:00,-31528.33847999999,-7006.297439999999
75,2017-11-20 02:45:00,35225.42399999995,10959.020799999984
1454,2017-11-20 06:45:00,0.0,382.5841360000068
1453,2017-11-20 21:45:00,0.0,-723.4142600000032
1452,2017-11-20 23:30:00,0.0,-1906.537024000012
76,2017-11-22 00:30:00,-25068.061080000007,-7241.884312000002
77,2017-11-22 17:45:00,-894.8386799998116,-258.5089519999456
78,2017-11-24 16:30:00,1817.40527999993,545.221583999979
79,2017-11-24 17:00:00,-12303.432719999955,-3691.0298159999866
80,2017-11-25 17:15:00,37403.85600000007,10805.55840000002
1455,2017-11-25 17:45:00,0.0,9305.973348000009
1456,2017-11-25 18:15:00,0.0,7093.237216000032
1457,2017-11-25 21:00:00,0.0,5428.919392000011
1458,2017-11-26 00:15:00,0.0,5215.320088000019
1459,2017-11-26 07:15:00,0.0,3440.2352320000064
1461,2017-11-26 09:00:00,0.0,3020.4333879999995
1460,2017-11-26 09:45:00,0.0,2162.6735800000097
81,2017-11-26 13:30:00,39209.27939999993,8277.514539999984
1462,2017-11-26 15:45:00,0.0,7078.759871999995
1463,2017-11-27 01:00:00,0.0,7154.068800000008
82,2017-11-27 04:00:00,-11589.30000000004,-2317.860000000008
1465,2017-11-27 09:45:00,0.0,-4472.657112000006
1464,2017-11-27 11:30:00,0.0,-5845.211864000004
83,2017-11-28 14:00:00,43771.18499999997,11185.969499999992
1466,2017-11-29 12:00:00,0.0,8761.356576000002
84,2017-11-29 23:00:00,-139855.48200000002,-32632.94580000001
85,2017-12-01 21:15:00,45532.84464000005,11130.250912000014
1467,2017-12-01 22:15:00,0.0,9370.503000000012
86,2017-12-02 05:45:00,18780.51420000016,3756.102840000032
1469,2017-12-02 06:45:00,0.0,2403.766344000025
1468,2017-12-02 10:30:00,0.0,-259.0193999999883
87,2017-12-03 20:30:00,-4906.798559999879,-1090.3996799999732
1471,2017-12-04 00:15:00,0.0,-5839.745919999987
1470,2017-12-04 01:15:00,0.0,-5042.612640000003
88,2017-12-05 17:00:00,53891.44200000011,11377.082200000024
1472,2017-12-06 11:15:00,0.0,8932.907280000009
1473,2017-12-06 14:00:00,0.0,7297.020048000006
1474,2017-12-06 15:00:00,0.0,6035.70984
89,2017-12-06 16:30:00,56648.2420800002,6923.674032000024
1475,2017-12-06 17:45:00,0.0,8582.585903999992
1477,2017-12-06 18:30:00,0.0,6127.156000000014
1476,2017-12-06 19:15:00,0.0,5023.563392000011
90,2017-12-07 07:30:00,58338.35999999997,11667.671999999997
1478,2017-12-07 09:15:00,0.0,9562.16811200002
91,2017-12-07 17:30:00,66045.18203999996,12475.201051999991
1479,2017-12-07 19:15:00,0.0,9804.718143999997
92,2017-12-08 01:15:00,65360.74500000013,11619.688000000024
93,2017-12-08 09:00:00,-198508.4639999999,-33084.743999999984
1481,2017-12-08 10:00:00,0.0,-30804.76929600001
1480,2017-12-08 11:00:00,0.0,-25094.993220000004
94,2017-12-09 09:30:00,-24848.38907999998,-3865.3049679999967
95,2017-12-10 23:00:00,38173.50000000013,6786.400000000023
96,2017-12-11 00:30:00,68512.80240000006,11418.80040000001
1482,2017-12-11 01:30:00,0.0,9260.05732800004
97,2017-12-11 12:30:00,73789.91999999991,11478.431999999986
1483,2017-12-12 04:45:00,0.0,-99.92523200000504
98,2017-12-15 09:45:00,75130.63200000011,11686.987200000018
1484,2017-12-15 10:30:00,0.0,9225.433843999985
99,2017-12-15 19:45:00,-9685.457279999791,-1506.6266879999675
1485,2017-12-15 21:15:00,0.0,-2531.9271560000016
100,2017-12-16 22:30:00,81244.75536000039,11735.353552000057
1487,2017-12-17 04:15:00,0.0,724.5600000000195
101,2017-12-17 07:45:00,-43899.12,-5365.448
1486,2017-12-17 21:15:00,0.0,-6591.219199999992
102,2017-12-25 09:15:00,-3374.2540800000825,-674.8508160000165
103,2017-12-26 13:00:00,65913.25500000006,12450.281500000012
104,2017-12-26 17:00:00,66328.35624000014,11791.707776000025
105,2017-12-26 23:45:00,70533.67464000008,12539.319936000014
1488,2017-12-27 01:30:00,0.0,-8140.377599999992
106,2017-12-27 13:45:00,-97140.16115999992,-14031.35661199999
107,2017-12-29 11:30:00,-13400.171639999971,-2531.1435319999946
1489,2017-12-29 13:30:00,0.0,-4082.8689199999935
108,2017-12-31 21:45:00,60094.042559999885,12018.808511999978
109,2018-01-01 01:45:00,-66500.5075199999,-13300.10150399998
110,2018-01-02 23:00:00,61895.97179999997,12379.194359999994
111,2018-01-03 03:30:00,64145.87928000008,12116.443864000015
112,2018-01-03 05:15:00,-71525.15783999994,-13510.307591999988
113,2018-01-04 11:30:00,-85779.18071999999,-15249.632127999996
114,2018-01-05 18:00:00,68425.07939999999,12164.45856
115,2018-01-05 20:45:00,73478.18556000006,12246.36426000001
1492,2018-01-06 01:30:00,0.0,3340.9680479999806
116,2018-01-06 02:30:00,10649.699640000365,1419.9599520000484
1491,2018-01-06 03:15:00,0.0,-917.3399600000266
1490,2018-01-06 08:30:00,0.0,-3246.7167039999918
117,2018-01-13 10:30:00,-45185.0637599999,-9037.01275199998
1493,2018-01-13 22:45:00,0.0,-11781.728111999984
118,2018-01-15 22:00:00,-71613.54108000005,-13527.00220400001
119,2018-01-18 06:45:00,19305.89964000006,4719.219912000015
120,2018-01-18 21:30:00,-47275.08803999981,-11030.853875999956
121,2018-01-20 14:00:00,54644.5836000001,12143.24080000002
1494,2018-01-20 18:00:00,0.0,-9376.949999999988
122,2018-01-24 01:15:00,38768.404320000176,9476.721056000042
123,2018-01-24 21:45:00,-22906.439640000008,-5599.351912000002
1496,2018-01-24 23:30:00,0.0,-8578.642000000003
1495,2018-01-25 12:30:00,0.0,-7665.579999999998
124,2018-01-26 12:00:00,-7632.466199999944,-1780.908779999987
125,2018-01-27 01:15:00,-22360.429799999874,-5217.433619999971
126,2018-01-28 01:00:00,52291.57067999984,12201.366491999965
1497,2018-01-28 02:00:00,0.0,9213.375872000004
1498,2018-01-28 14:00:00,0.0,-3250.977599999991
127,2018-01-28 15:30:00,-35381.91600000004,-5503.853600000006
128,2018-02-01 09:30:00,-44913.77676,-11477.965172
130,2018-02-03 23:15:00,-53618.58000000006,-15489.812000000016
129,2018-02-03 23:45:00,-52718.21999999999,-11715.159999999996
1499,2018-02-04 00:15:00,0.0,-10412.543999999994
131,2018-02-07 19:45:00,36470.88,11751.728
132,2018-02-07 22:30:00,36797.27111999997,8994.888495999992
